id,title,image_link,country,years,director_description,leader,star,description,all_tags,imdb,language,time_length,Unnamed: 13
29,Ready Player One,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,USA,2018-03-30(中国大陆),Steven Spielberg,"['Tye Sheridan', 'Olivia Cook', 'Ben Mendelsohn', 'Mark Rylance', 'Lina Waithe', 'On Morisaki', 'Chia Cheng Chiu', 'Simon Pegg', 'T.J. Miller', 'Hannah Jon-Kamen', 'Ralph Ineson', 'Susan Lynch', 'Claire Higgins', 'Lawrence Spellman', 'Perdita Vickers', 'Isaac Andrews']",8.7,"The story takes place in 2045, when virtual reality technology has penetrated into every corner of human life. James Halliday (Mark Rylance) single-handedly built a virtual reality game world called ""Oasis"". Before his death, he announced that he had set an Easter egg in the game.
                                    
                                Wade (played by Tye Sheridan), Aiqi (played by Lena Waithe), Dadong (played by On Morisaki) and Xiu (played by Zhao Jiazheng) are friends in the game. Together with Artemis (played by Olivia Cooke) whom they met later, the five embarked on a journey to find Easter eggs. What they are fighting against is a big capitalist named Nolan Sorrento (Ben Mendelsohn).",Action/Science Fiction/Adventure,https://www.imdb.com/title/tt1677720,English / Japanese / Mandarin Chinese,140分钟,
30,The Croods,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,USA,2013-04-20(中国大陆),Kirk DeMico,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke', 'Chris Sanders', 'Randy Tom']",8.7,"The primitive man Grug and his family of six live under the protection of his father Grug (voiced by Nicolas Cage). He robs ostrich eggs for food every day, avoids the pursuit of wild beasts, listens to his father narrating the same story every night, and lives an unchanging life in the cave. The eldest daughter Eep (voiced by Emma Stone) is a curious girl who is completely opposite to her father's personality. She is not satisfied with staying in this small cave all her life and wants to pursue the novel world outside the cave.
                                        
                                    Unexpectedly, the end of the world suddenly came, the cave was destroyed, and the family was forced to leave their home and start a new journey. After leaving the cave where they had lived ""all their lives"", what appeared in front of them was a brand-new, gorgeous but dangerous new world, full of man-eating flowers and plants and strange birds and beasts that they could not name. The family encountered an unprecedented crisis. During the journey, they also met Guy (voiced by Ryan Reynolds), a nomadic tribesman. He has extraordinary creativity and innovative ideas, and helped the Gulu family avoid many difficulties. Along the way, he also invented many ""high-tech"" products...",Comedy/Animation/Adventure,https://www.imdb.com/title/tt0481499,English,98分钟,
31,Across the world Across the world,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173708731.jpg,"Hong Kong, China",1991-02-02(中国香港),John Woo,"['Chow Yun-fat', 'Leslie Cheung', 'Zhong Chuhong', 'Zhu Jiang', 'Zeng Jiang', 'Hu Feng', 'Tang Ning', 'Deng Yijun']",8.8,"Potty Cake (Chow Yun-fat), Azhan (Leslie Cheung) and Hong Dou (Chung Chung) are all orphans who became international thieves under the cultivation of their adoptive father (Tsang Kong). When he grew up, he became an art thief who helped him make money, and the three of them also recognized a policeman (played by Zhu Jiang) as their godfather.
                                    
                                The famous painting ""The Maid of Herring"" was stolen from a museum in Paris, France. At the same time, Ahai, Azhan and Hongdou used their agility to steal another famous painting. During the transaction with the French brother, they learned that the famous painting ""The Maid of Herring"" was in the evil castle. After they successfully stole the painting under the arrangement of Zeng Jiang, the original culprit of the group, Zeng Jiang, conspired with the French brother to set a trap and sent people to hunt down and kill him. Ahai's car collided with the killer speedboat...
                                    
                                The three were separated. A few years later, they reunited in Hong Kong. Ahai was ""paralyzed"" and lived in Zhu Jiang's house. Azhan and Hongdou were married. Zeng Jiang forced them to steal paintings again...",Drama/Comedy/Action/Crime,https://www.imdb.com/title/tt0101020,Cantonese / Mandarin / Hakka / English / French,108分钟,
32,Train to Busan 부산행,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,South Korea,2016-05-13(戛纳电影节),Yeon Sang-ho,"['Gong Yoo', 'Jung Yoo-mi', 'Ma Dong-seok', 'Kim Soo-an', 'Kim Eui-seong', 'Choi Woo-sik', 'Ahn So-hee', 'Choi Kyu-hwa', 'Jung Seok-yong', 'Yisiu-jung', 'Park Myung-shin', 'Jang Hyuk-jin', 'Woo Do-rim', 'Shim Eun-kyung']",8.5,"The fund manager of a securities company, Shi Yu (played by Kong Yoo), is bright and capable, but he is also a profit-seeking man. His broke up with her over this, and her daughter Xiu An (played by Kim Soo An) became increasingly disappointed with such a selfish father and decided to go to Busan to live with her mother. On Xiu'an's birthday, Shi Yu took time to accompany her daughter on the express train bound for Busan. At the same time, extremely suspicious riots occurred across the city. The government tried its best to conceal the fact that zombies were raging, and even the ignorant train passengers fell into a hell of panic and despair because of the arrival of uninvited passengers. The moment she drove, an infected person rushed into the car, and she quickly transformed into a corpse and carried out a bloody massacre of healthy people wherever she looked. It didn't take long for the zombies to grow exponentially. Shi Yu was forced to struggle with the survivor passengers in the cramped space to survive.
                                    
                                The long journey to Busan is full of murderous intent. In times of crisis, the humanity of each survivor also undergoes a huge test...",Action/Thriller/Disaster,https://www.imdb.com/title/tt5700672,Korean,118分钟,
33,"Three Billboards Outside Ebbing, Missouri",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,USA/UK,2018-03-02(中国大陆),martin macdonald,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Abby Cornish', 'Lucas Hedges', 'Peter Dinklage', 'John Hawkes', 'Caleb Landry Jones', 'Katherine Newton', 'Kerry Condon', 'Zeljko Ivanek', 'Samara Weaving', 'Clark Peters', 'Nick Searcy', 'Amanda Warren', 'Malaya Rivera-Drew', 'Brandon Thaxton', 'Michael Allen Milligan']",8.7,"Mildred's (Frances McDormand) daughter was raped and murdered while out, and the marriage between Mildred and her husband Charlie (John Hawkes) came to an end. Now, she and her son Robbie (Lucas Hedges) live a life of dependence on each other. Several months have passed in the blink of an eye, and there is still no sign of the case being solved, and the police seem to have already diverted their attention away from the case.
                                    
                                Mildred, entangled in despair and pain, rented three giant billboards on the side of the highway, accusing the police of incompetence in handling the case, and pointed the finger directly at Police Chief Willoughby (Woody Harrelson). In fact, Willoughby has been hiding the fact that he is terminally ill and will soon die. Because of these three billboards, the lives of Mildred and Willoughby have changed dramatically.",Drama/Crime,https://www.imdb.com/title/tt5027774,English,115分钟,
34,heart maze,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,Chinese mainland,2015-10-16(中国大陆),Xin Yukun,"['Huo Weimin', 'Wang Xiaotian', 'Luo Yun', 'Yang Yuzhen', 'Sun Li', 'Shao Shengjie', 'Cao Xi'an', 'Jia Zhigang', 'Zhu Ziqing', 'Wang Zichen', 'Zhao Zitong', 'Jia Shizhong', 'Yuan Man', 'Chen Meisheng', 'Zhang Jingsu', 'Ping Ping', 'Jin Zi', 'Zhang Jianjun']",8.7,"A young man who wanted to break away from the control of his father accidentally killed a gangster from the same village during a dispute and was forced to flee. He never thought that he would escape from his comfortable life in this way, but when he left, he was shocked to find that fate had already closely connected him with his authoritarian father. Whether he left or stayed, he would lose everything.
                                    
                                A left-behind woman who suffered from domestic violence found solace in the arms of her former lover. In the darkness, the desperate woman conspired with her lover to murder her husband, but when the news of the reckless husband's death came, the lover avoided seeing her and denied everything. When a woman falls into despair again and another man appears in her life, he brings more than just care to her...
                                    
                                An old village chief with integrity, strict self-discipline, and careful planning for his old age after retirement. He had been loyal to his faith all his life, but he easily bowed his head in front of his own nature; a stain fell on the blueprint of destiny, and he tried his best to wipe it off, but a black hole opened up and he fell deeply into it.",Drama/Suspense/Crime,https://www.imdb.com/title/tt4078856,Mandarin Chinese,110分钟(中国大陆),
35,Dallas Buyers Club Dallas Buyers Club,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,USA,2013-09-07(多伦多电影节),Jean-Marc Valet,"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto', 'Steve Zahn', 'Dallas Roberts', 'Kevin Rankin', 'Dennis O'Hara', 'Jane McNeil', 'Griffin Dunne', 'James Dumont', 'Juliet Reeves', 'Steffi Grote', 'J.D. Evermore']",8.8,"In 1986, in Dallas, the United States, homophobic Texas electrician Ron Woodruff (played by Matthew McConaughey) discovered that he was suffering from the ""gay disease""-AIDS, and had only 30 days left to live. The AZT (azidothymidine) he used was the only anti-AIDS drug approved by the FDA at the time, but it was extremely toxic. In order to survive, Ron began to research various anti-AIDS prescriptions and alternative treatments, and even smuggled unapproved drugs from around the world. With the help of doctor Sachs (Jennifer Garner) and transvestite Raymond (Jared Leto), Ron began to establish an underground organization called the ""Dallas Buyers Club"" to provide more ""unconventional treatments"" for AIDS patients. Many sick gay men also turned to him for help. Naturally, his move was obstructed and pressured by the FDA and drug companies. Ron finally died in September 1992, 2,557 days after he was told he had only 30 days to live. In the past seven years, he has been unremittingly fighting against the disease, the FDA and pharmaceutical manufacturers...",Drama/Gay/Biography,https://www.imdb.com/title/tt0790636,English/Japanese,117分钟,
36,Grave of the Fireflies Grave of Fireflies,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg,Japan,1988-04-16(日本),Isao Takahata,"['Tatsuki Nu', 'Shiraishi Ayano', 'Shinohara Ryoko', 'Yamaguchi Shumi', 'Hatada Kozo']",8.7,"The war between the United States and Japan broke out, and 14-year-old Seita took his young sister to run for his life. When they arrived at the air-raid shelter, his mother was seriously injured and died not long after. The two brothers and sisters have lived together since then. They had no choice but to seek refuge with their mother's sister. Even though they gave all their belongings to their aunt, when the food was gone, they felt more and more dependent on others. Qingtai decided to take his sister away to live alone. Life in the fire and smoke was not easy. Qingtai stole food everywhere for his sister, but her sister was still severely malnourished...",Drama/Animation/War,https://www.imdb.com/title/tt0095327,Japanese,89 分钟,
37,Love Actually,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,UK / USA / France,2003-09-07(多伦多电影节),Richard Curtis,"['Hugh Grant', 'Colin Firth', 'Emma Thompson', 'Keira Knightley', 'Liam Neeson', 'Thomas Brodie-Sangster', 'Bill Nighy', 'Martin Freeman', 'Laura Linney', 'Alan Rickman', 'Chris Marshall', 'Rodrigo Santoro', 'Rowan Atkinson', 'Billy Bob Thornton', 'Martine McGuckian', 'Andrew Lincoln', 'Lucia Moniz', 'Heike Makaki']",8.6,"This is a comedy mix of 10 love stories:
                                    
                                The little boy who lost his mother was depressed all day long, and his stepfather didn't know how to comfort him. When he learned that his stepson liked the most beautiful girl in school, he enthusiastically encouraged his son to pursue her. In order to win the attention of the little girl, the little boy practiced the drums day and night, just so that he could perform on the same stage with her at the Christmas party. He was so brave that he even bravely broke through the airport security area just to say goodbye for the last time.
                                    
                                The mother of two children faced a marital crisis. Her husband had an affair and gave the necklace to another woman. What he gave her was only a CD of the female singer she loved. She found an excuse and hid in the bedroom in a hurry, holding back her sobs as she sang. He turned around and laughed exaggeratedly, facing the happy face of his beloved daughter. The husband finally came to his senses.
                                    
                                …
                                    
                                There are ten such short stories in total, which warm our hearts.",Drama/Comedy/Romance,https://www.imdb.com/title/tt0314331,English/Portuguese/French,135 分钟,
38,Wild Tales Relatos salvajes,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,Argentina / Spain,2014-05-17(戛纳电影节),Damian Szifron,"['Dario Grandinetti', 'Maria Manuel', 'Monica Villa', 'Rita Corteser', 'Julietta Zelberberg', 'Caesar Bordon', 'Leonardo Sbaraglia', 'Walter Donado', 'Riccardo Darling', 'Nancy Dupra', 'Oscar Martinez', 'Maria Oneto', 'Osma Nunez', 'Herman de Silva', 'Erica Rivas', 'Diego Gentile', 'Margarita Morfino']",8.8,"""Wild Stories"" is a black comedy composed of six independent short stories of violent revenge. The film is a subversive creation about the out-of-control behavior of human beings. From its weird sense of humor, unique images and bold soundtrack, to its preference for the theme of ordinary people in desperate situations, we can clearly see the similarities between the creations of the South American ghost director Damian Szevoron and Almodovar. Still, Szifron made his own unique voice with the film: a scathing attack on a society plagued by corruption and severe economic and social inequality.",Drama/Comedy/Crime,https://www.imdb.com/title/tt3011894,spanish,122分钟,
39,Slumdog Millionaire Slumdog Millionaire,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,UK / USA,2009-03-26(中国大陆),Danny Boyle,"['Dev Patel', 'Shahruba Shukla', 'Yani Kapur', 'Rajandranath Zutesh', 'Jiniva Talwar', 'Freda Pinto', 'Irrfan Khan', 'Azharuddin Muhammad Ismail', 'Ash Mahesh Shedkar', 'Mahesh Manjrekar', 'Malho Mittal']",8.6,"2006, Mumbai, India.
                                    
                                Indian youth Gemma Malik (played by Dev Patel) is one question away from winning 20 million rupees. How did he do it? A: He cheated; B: He was lucky; C: He was a genius; D: Everything was destined.
                                    
                                This is the life version of the TV quiz show ""Who Wants to Be a Millionaire"". Gemma Malik was arrested by the police for fraud after she had won 10 million rupees. Under torture, Gemma told the truth about the 10 million rupees he had won - he did know the answer, but that was all he knew!
                                    
                                Gemma, who was born in a slum, lived a difficult life at a young age. However, he, his brother Salim, and the girl Latika (played by Freida Pinto) have experienced decades of changes in India. Every question before seems to be a fragment of Gemma's memory, affecting his memories of family, love and life.
                                    
                                Now, Gemma wants to clear her criminal suspicion on the one hand, and save her love with Latika on the other. Before money and love, can Gemma stay calm and choose the right answer?",Drama/Romance,https://www.imdb.com/title/tt1010048,English / Hindi / French,120 分钟,
40,East evil and West poison East evil and West poison,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,"Hong Kong, China / Taiwan, China",1994-09-17(中国大陆),Wong Kar-wai,"['Leslie Cheung', 'Brigitte Lin', 'Tony Leung', 'Jacky Cheung', 'Maggie Cheung', 'Carina Lau', 'Tony Leung', 'Yang Caini', 'Zou Zhaolong']",8.6,"On the night when his lover (Maggie Cheung) married his brother in anger, Ouyang Feng (Leslie Cheung) sadly left Bai Tuo Mountain and walked into a small town in the desert to become a killer intermediary. His friend, the romantic swordsman Huang Yaoshi (Tony Leung Ka-fai), comes to the town to have a drink with him every year. The news about Mount Bai Tuo during the drinking conversation makes his forgetfulness of the past gradually turn into self-deception.
                                    
                                Huang Yaoshi is only superficially romantic. He is infatuated with Taohua (Carina Lau), the wife of his friend ""Blind Warrior"" (Tony Leung Chiu-wai), who left him forever after her husband's death; and to the woman Murong Yan (Brigitte Lin) who was obsessed with him, he was unwilling to fulfill the promise he once made casually, which made Murong Yan lost in her own identity. Hong Qi (Jacky Cheung), the village girl (Yang) Caini) and others who formed a short-term ""buying murder and killing"" relationship with Ouyang Feng also have a painful past that only they know and are unwilling to look back on.",Drama/Action/Romance/Martial Arts/Costume,https://www.imdb.com/title/tt0109688,Cantonese / Mandarin Chinese,100分钟,
41,Harry Potter and the Prisoner of Azkaban Harry Potter and the Prisoner of Azkaban,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,UK / USA,2004-09-10(中国大陆),Alfonso Cuaron,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Gary Oldman', 'Julie Waters', 'Bonnie White', 'David Thewlis', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Tom Felton', 'Emma Thompson', 'Julie Christie', 'Timothy Spall']",8.7,"Harry (Daniel Radcliffe) is about to spend his third year at Hogwarts. At this time, news of the prison break of the villain Sirius (Gary Oldman) spread in Aztaban. It is said that Sirius is the friend who betrayed Harry's parents, his godfather, and it seems that Sirius's escape from prison was to find him. The idea of ​​revenge for his parents quietly grew in Harry's heart, and he looked forward to the appearance of Sirius.
                                    
                                The new magic teacher Lupine (David Thewlis) has an unruly personality, has a good relationship with Harry, and has taught Harry many practical ways to against black art. But at this time, a mysterious figure, Wormtail, appeared on his magic map. By chance, all of Harry's father's old friends, Lupine, Wormtail, and Sirius, gathered in the Shrieking Shack. Harry pointed his wand directly defend at Sirius, but he found that the criminal looked at him with love in his eyes...",Fantasy/Adventure,https://www.imdb.com/title/tt0304141,English,141 分钟,
42,Memento,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,USA,2000-09-05(威尼斯电影节),Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Jo Pantoliano', 'Mark Boone Jr', 'Rush Fegar', 'Joja Fox', 'Stephen Tobolowsky', 'Harriet Sansom Harris', 'Thomas Lennon', 'Callum Keith Rennie', 'Kimberley Campbell', 'Mary Anne Mueller', 'Larry Holden']",8.6,"How should you face life when your memories are fragmented? This is what happened to the protagonist of this film.
                                    
                                Liner Shelby (Guy Pearce) was attacked by gangsters at home, his wife was brutally raped and murdered, and he also suffered serious brain damage.
                                    
                                After waking up, he found that he was suffering from a rare ""short-term memory loss"". He could only remember what happened more than ten minutes ago. In order to continue his life and avenge his tragic death, he relied on tattoos, notes, Polaroid snapshots and other scattered little things to preserve his memory, collect clues, and launch a difficult investigation.
                                    
                                During the investigation, Lena met the vulgar barmaid Natalia (played by Carrie-Anne Moss), who seemed to know something of interest to Leonardo; and Teddy (played by Joe Pantoliano), who claimed to be his former good friend, but seemed sneaky and had evil intentions. Who can believe it? Natalia? Teddy? Or himself?
                                    
                                After peeling off the cocoon, the truth is about to come out, as simple as it is cruel, and does Reiner have the courage to face it all?",Drama/Suspense/Thriller/Crime,https://www.imdb.com/title/tt0209144,English,113分钟,
43,your name. Jun's name.,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,Japan,2016-12-02(中国大陆),Xin Haicheng,"['Ryuunosuke Kamiki', 'Moe Kamishiraishi', 'Masami Nagasawa', 'Etsuko Ichihara', 'Rei Narita', 'Yuuki Aoi', 'Nobunaga Shimazaki', 'Keihito Ishikawa', 'Kaon Tani', 'Masaki Terahashi', 'Sayaka Ohara', 'Kazuhiko Inoue', 'Chafeng Rin', 'Arika Kato', 'Kana Hanazawa', 'Yuka Terasaki']",8.4,"In a small mountain village far away from the big city, lives Mitsuha Miyamizu, a high school girl from a family of witches (dubbed by Moe Kamishiraishi). The school and family issues have already made her full of troubles, and the strange events that have happened recently have left Sanye confused. I don’t know when, but Mitsuha will become a high school boy living in Tokyo in her dreams. There are strange classmates and friends, friendly seniors and bustling streets. Everything is so tempting and real. On the other hand, Tachibana Taki (voiced by Kamiki Ryunosuke), a high school boy living in Tokyo, always comes to a strange mountain village in his dreams and leads a new life as a girl. Perhaps influenced by the mysterious comet, Tachibana and Mitsuha exchanged identities in their dreams. They experience each other’s life from another’s perspective, during which there is anger, laughter and heartwarming. It’s just that the two of them don’t know that there is a major and heartbreaking secret hidden behind the identity exchange...
                                    
                                This film was the box office champion of Japanese domestic films in 2016.",Drama/Romance/Animation,https://www.imdb.com/title/tt5311514,Japanese,106分钟,
44,Whiplash,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,USA,2014-01-16(圣丹斯电影节),Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell', 'Nate Long', 'Chris Mulkey', 'Damon Gumpton', 'Suanne Spoke', 'Marcos Carthy', 'Charlie Ian', 'Jason Blair', 'Kofi Sriboy', 'Kavita Patil', 'C.J. Vana', 'Tariq Lowe', 'Calvin C. Wimbush', 'Michael D. Cohen', 'April Grace', 'Marcus Henderson', 'Henry G. Sanders', 'Wendy Lee', 'Michelle Love']",8.7,"19-year-old Andrew (Miles Teller) grew up in a single-parent family and wanted to become a top jazz drummer. One night while practicing at school, he was photographed by the devil mentor Fletcher (J.K. Simmons) and entered a regular band. At the same time, he began to pay the price for his pursuit of perfection. The harder Andrew practices, the more isolated he becomes from the outside world. The only one who understood him was Fletcher, but the latter's irritability and moodiness distorted the teacher-student relationship, which affected Andrew, and his own personality also changed. Finally, when Andrew finally stepped onto the stage of the New York Concert Hall, he was horified to discover that Fletcher had been waiting to drive him into the dust...
                                        
                                    ""Explosive Drummer"" tells the passionate story of a young man who, under the supervision of a strict teacher, uses unconventional means to challenge his limits and pursue his dream of becoming a jazz drummer. The protagonist loves playing drums, but his excessive devotion makes him lose his original intention of music, which then turns into a life load and an almost crazy duel between master and apprentice. The movie not only shows the pain of musicians, but also allows people to see the cruel truth behind traditional inspiration. ""Exploding Drummer"" won the 30th Holy Medal...",Story/Music,https://www.imdb.com/title/tt2582802,English,107分钟,
45,Hotel Rwanda,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,UK / South Africa / Italy,2004-09-11(多伦多电影节),Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Nick Nolte', 'Hakeem Kay-Kassim', 'Tony Goroch', 'Fana Mokoena', 'David O'Hara', 'Mosusi Magno', 'Seamus Mogawaza', 'Cara Seymour', 'Roberto Citran', 'Desmond Dub', 'Leleti Kumalo']",8.9,"After Rwanda declared independence in 1994, there were many conflicts between the Hutu and Tutsi tribes. There were many conflicts and the war continued. The Hutus massacred the Tutsis. Against this background, Paul, the manager of the Rwandan hotel, kept running around and finally succeeded in saving more than a thousand Tutsi and Hutu refugees in the hotel.",Drama/History/War,https://www.imdb.com/title/tt0395169,English/French,121分钟,
46,In the Mood for Love In the Mood for Love,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,"Hong Kong, China",2000-09-29(中国香港),Wong Kar-wai,"['Tony Leung', 'Maggie Cheung', 'Pan Dihua', 'Xiao Binglin', 'Zhang Yaoyang', 'Sun Jiajun', 'Qian Siying', 'Gu Jinhua']",8.6,"In Hong Kong in the 1960s, newspaper editor Chow Mo-wan (Tony Leung) and his wife moved into an apartment whose residents were mostly Shanghainese, and became neighbors with Mr. Chen, a trade representative of a Japanese company, and his wife Su Lizhen (Maggie Cheung). Because they discovered that their spouses working outside the home were having extramarital affairs behind their backs, Chow Mo-Wan and Su Lizhen began to meet to discuss what might happen in the future and the corresponding countermeasures.
                                    
                                At first, the two of them were gentlemen and talked about matters as lightly as water. However, as the days passed, and among the gossips of a bunch of Shanghai neighbors around them, they found that their spouses had long been emptied out of their minds, and they only had each other in their eyes. The result of deliberately avoiding the feelings they had developed was an even more profound lovesickness.",Drama/Romance,https://www.imdb.com/title/tt0118694,Cantonese/Shanghainese/French,98 分钟,
47,black swan black swan,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,USA,2010-09-01(威尼斯电影节),Darren Aronofsky,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Barbara Hershey', 'Winona Ryder', 'Benjamin Millepied', 'Ksenia Solo', 'Christina Annabo', 'Janet Montgomery', 'Sebastian Stan', 'Tobey Hemingway', 'Sergio Torado', 'Mark Margolis', 'Tina Sloan', 'Abraham Aronofsky', 'Charlotte Aronofsky', 'Marcia Jean Kurtz', 'Sean O'Hagan', 'Christopher Gartin', 'Deborah Offner', 'Stanley B. Herman', 'Kurt Freeman', 'Patrick Heisinger', 'Sarah Hay']",8.6,"The New York Theater Company is reorganizing ""Swan Lake"". Due to the departure of the former lead dancer Beth (Winona Ryder), director Thomas (Vincent Cassel.) decided to audition for a new lead dancer, and required the lead dancer to play the roles of the Black Swan and the White Swan. Nina (Natalie Portman) has practiced ballet since she was a child. Under the careful care of her mother, she has outstanding skills. This time, she hopes to stand out. However, in the competition, she found that the scheming Lily (Mila Kunis) was her strong opponent. In the selection, her white swan performed impeccably, but the black swan was not as good as Lily. She felt physically and mentally exhausted, and when she returned home she discovered red spots on her back and injuries to her feet. She went to the director alone, hoping to fight for it. The director took the opportunity to kiss her, but she refused forcefully. As a result, the director actually chose her. Her teammates suspected that she relied on her looks to get to the top. At the cocktail party, Beth even vented her anger in public. This pressure, coupled with injuries, has been affecting her performance. The director inspired her to unleash her passion and show Krishna...",Drama/Thriller,https://www.imdb.com/title/tt0947798,English / French / Italian,108分钟,
48,The Tale of Hachiko the Faithful Dog The Tale of Hachiko,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg,Japan,1987-08-01(日本),Seijiro Kamiyama,"['Yamamoto Kei', 'Hisashi Ikawa', 'Katagiri I', 'Nakadai Tatsuya', 'Harukawa Masumi', 'Yachigusa Kaoru', 'Ishino Mako', 'Tōyama Taiji', 'Kato Yoshi', 'Ishikura Saburo', 'Izumiya Shigeru', 'Yanagiha Toshiro']",9.2,"In 1923, there was heavy snowfall in Odate City, Akita Prefecture, Japan. The Kondo family's purebred Akita dog gave birth to puppies and presented them to the prefectural civil engineering section chief Maze. The latter donated one of the dogs to Ueno Hidejiro (Tatsuya Nakadai), a professor at Tokyo Imperial University, for domestication. Ueno's only daughter Chizuru was happy about this, but Ueno and his wife were embarrassed. Later, Chizuru (played by Mako Ishino) fell in love and became pregnant with her boyfriend's child. My boyfriend made a special trip to visit me. Ueno talked with him, and the latter was frightened and said frankly that he was responsible for his daughter and that the wedding would be held today without further delay. Ueno heard this and his anger turned into joy. After Chizuruko got married, Ueno immediately put all his efforts and love into the puppy and named it Hachi. Every day when commuting to and from work, Hachi must wait at Shibuya Station. All year round, rain or shine, it amazes passers-by and becomes a local scenery. The feeling of master and servant touches the world...
                                    
                                Adapted from real events, this film was Japan’s box office champion in 1987, with a box office revenue of 5.4 billion yen.",plot,https://www.imdb.com/title/tt0093132,Japanese,107 分钟,
49,The Matrix Revolutions The Matrix Revolutions,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,USA/Australia,2003-11-05(美国/中国大陆),Lily Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith', 'Kate Bingham', 'Mary Alice', 'Monica Bellucci', 'Essie Davis', 'Christopher Kirby', 'Robert Mamone', 'Robin Nevin', 'Genevieve O'Reilly', 'Nonna Gayet', 'Nathaniel Lees', 'Harry Lennix', 'Harold Perrineau', 'Rupert Red', 'Kevin Michael Richardson', 'David Roberts', 'Bruce Spence', 'Gina Torres', 'Clayton Watson', 'Helmut Bachitis', 'Zou Zhaolong', 'Joe Manning', 'Tanveer K. Atwal', 'Lahey Hume', 'Cornell West', 'Bernard White', 'Lambert Wilson', 'Anthony Brandon Wong', 'Anthony Zerby', 'Craig Walker']",8.7,"In the second episode, Neo (Keanu Reeves) failed to destroy the ""Matrix"" from the inside. His body fell into a coma on the real-world spaceship, but his mind was trapped in the middle ground between the ""Matrix"" and the real world. This place is controlled by the ""Train Man"". Morpheus (Laurence Fishburne) and Trinity (Carrie-Anne Moss) and others learned of Neo's situation. Under the leadership of the guardian angel, they found the controller of ""Trainman"", Melo Wenqi, and after a fierce battle, Neo was rescued.
                                        
                                    At this time, the electronic squid troops launched a fierce attack on Zion, and all the mecha warriors of the human organization launched a tenacious resistance, and the situation was critical; Neo and Trinity drove a spaceship to overcome many difficulties and arrived at the machine city. Neo finally met the ruler of the machine world, the ""Machine Emperor"", and the two parties negotiated and reached an agreement: Neo got rid of Smith, who was not controlled by the ""matrix"", in exchange for peace in Zion.
                                        
                                    In the ""Matrix"", Neo and Smith launched a final duel related to the life and death of mankind...",action/sci-fi,https://www.imdb.com/title/tt0242653,English/French,129 分钟,
