id,title,image_link,country,years,director_description,leader,star,description,tags,imdb,language,time_length,Unnamed: 13
10,The Mystery of the Female Corpse El cuerpo,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1725734834.jpg,Spain,2012-12-21(西班牙),Oriol Paul,"['Belen Rueda', 'Ugo Silva', 'José Coronado', 'Ola Garrido', 'Nausicaa Bunning', 'Juan Pablo Schuck', 'Christina Plazas', 'Oriol Villa', 'Aida Orsay']",7.6,"Late at night in Spain, a middle-aged man ran in a panic through the jungle and was eventually hit by a speeding car on the road and was seriously injured. Preliminary investigation by the police revealed that this person was a guard at a morgue, and he must have seen some horrific scene before the accident. After further investigation, it was discovered that a body was lost in the morgue that night. The corpse is named Maka Villaverde (Belén Rueda), a powerful corporate woman who died of a heart attack shortly after returning from Los Angeles on a plane that afternoon. The police contacted Maca's husband, who was accompanying his lover Alex (Hugo Silva). The coldness with which he talks about his wife has to cast doubt on the relationship between them.
                                    
                                Accompanied by a strange and chilling atmosphere, the truth gradually emerged...",Thriller,https://www.imdb.com/title/tt1937149,spanish,111分钟,
11,Infectious Diseases,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1213203384.jpg,United States / United Arab Emirates,2011-09-03(威尼斯电影节),Steven Soderbergh,"['Marion Cotillard', 'Matt Damon', 'Laurence Fishburne', 'Jude Law', 'Gwyneth Paltrow', 'Kate Winslet', 'Bryan Cranston', 'Jennifer Ehle', 'Elliot Gould', 'Jones Wong', 'John Hawkes', 'Anna Jacoby-Helen', 'Josie Ho', 'Sanna Lesser', 'Dimitri Martin', 'Armin Lord', 'Enrique Colantoni', 'Larry Clark', 'Monique Gabriella Cuerne', 'Xu Tianyou', 'Dalia Storkos', 'Griffin Kane', 'Steve Tovar', 'Grace Rex', 'Rebecca Spencer', 'Dan Aho', ""Brian J. O'Donnell"", 'Annabel Armour', 'Kara Zediker', 'Dan Flannery']",7.0,"The film tells the story of a new deadly virus that sweeps the world in a matter of days. Beth (Gwyneth Paltrow) dies suddenly of illness after returning home to Minneapolis from a business trip to Hong Kong. Her husband Thomas (Matt Damon) assists Dr. Erin Mears (Kate Winslet) in investigating the truth. The scary thing is that patients with the same disease appear on a large scale around the world, and the virus continues to spread. Conspiracy theory reporter Allen (Jude Law) took the opportunity to spread unfavorable public opinion against the government and medical institutions. Dr. Leonora Orantes (played by Marion Cotillard) was sent to Hong Kong to investigate the cause of the disease, but was held hostage by a local doctor (played by Chin Han) in exchange for vaccines. In Dr. Ellis Cheever (Laurence Fishburne) and young doctor Ally Hext...",Drama/Science Fiction/Thriller/Disaster,https://www.imdb.com/title/tt1598778,English / Mandarin Chinese / Cantonese,106分钟,
12,The Cloverfield Paradox The Cloverfield Paradox,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512711499.jpg,USA,2018-02-04(美国),Julius Jonah,"['Gugu Mbatha-Raw', 'David Oyelowo', 'Daniel Brühl', 'John Ortiz', 'Chris O'Dowd', 'Akassel Henne', 'Zhang Ziyi', 'Elizabeth Debicki', 'Roger Davis', 'Donal Logue', 'Susan Clare', 'Ken Olin', 'Simon Pegg', 'Greg Grunberg']",6.1,"In the future, people's demand for resources will be greater and greater, but the resources on the earth can no longer satisfy mankind. As a result, a resource crisis broke out on the earth and almost triggered a war. The only thing that can prevent war is the particle accelerator on the space station. If the experiment is successful and the particle accelerator operates successfully, then it will allow people to use a steady stream of resources. But after a particle accelerator accident, the Earth completely disappeared, and the astronauts on the space station began to try to figure out what happened to them. But as things go deeper, the truth slowly emerges, and stranger things also appear.",Sci-fi/suspense/thriller,https://www.imdb.com/title/tt2548396,English / Mandarin Chinese,102分钟,
13,Moneyball Moneyball,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1393286611.jpg,USA,2011-09-23,Bennett Miller,"['Brad Pitt', 'Jonah Hill', 'Philip Seymour Hoffman', 'Robin Wright', 'Chris Pratt']",8.3,"In MLB, Billy (Brad Pitt) was deeply hit when his Oakland Athletics team lost to the wealthy New York Yankees. To make matters worse, the three main players have been poached with huge sums of money, and their prospects for the next season are slim. At the management meeting, everyone was confused. Only he was secretly determined to transform the team. By chance, he met Peter (played by Jonah Hill), a master of economics from Yale University, and the two coincided with their concepts of team operation. With intuition and experience, he seemed to have found the key to cracking the gold-dollar baseball game. He hired Peter as his consultant to work together on how to build a team with the highest winning percentage. They used mathematical modeling to gradually begin to identify potential stars with on-base percentages, and recruited them through hard work and hard work. They didn't care about the cynicism from the top management, they just focused on finding the source of confidence and strength for the team. Finally, the new season began...
                                        
                                    The film is adapted from Michael Lewis's ""Moneyball: The Art of Winning a...",Drama/Biography/Sports,https://www.imdb.com/title/tt1210166,English,133分钟,
14,The Disappearance of Haruhi Suzumiya The Disappearance of Haruhi Suzumiya,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2246432125.jpg,Japan,2010-02-06(日本),Ishihara Tateya,"['Hirano Aya', 'Sugita Tomokazu', 'Chigara Minori', 'Aoki Sayaka', 'Goto Eupko', 'Kawatani Natsuko', 'Matsumoto Megumi', 'Matsuoka Yuki', 'Ono Daisuke', 'Shiraishi Minoru', 'Adachi Yu', 'Harada Hitomi', 'Aizawa Mai', 'Asari Ryota', 'Obata Kiko']",9.1,"With only eight days left until Christmas, the SOS group, under the call of Haruhi Suzumiya, planned a Christmas carnival party as expected. But on the morning of December 18, Xu found that the world around him had changed a little. Class 1, 9, disappeared. Asahina-senpai regarded him as a passerby. Even Asakura, who had died long ago, sat behind Kyon instead of Haruhi Suzumiya, while Haruhi disappeared as if she had disappeared from the world. When he rushed to the classroom of the SOS group, he only saw Nagato Yuki sitting alone in the corner reading a book. Nagato, who had always been calm and cold as ice, turned into a timid and shy girl. From the clues left by Nagato the day before, Kyon judged that the world seemed to have been reorganized by someone.
                                    
                                At this time, Xu holds the key to connect two completely different worlds. He is faced with a major choice...",Comedy/Science Fiction/Animation,https://www.imdb.com/title/tt1572781,Japanese,162分钟,
15,Love at High Altitude Ⅱ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1308162454.jpg,"Mainland China/Hong Kong, China",2012-02-09(中国大陆/中国香港),Johnnie To,"['Louis Koo', 'Sammi Cheng', 'Gao Yuanyuan', 'Huang Yi', 'Liu Haolong', 'Wang Baoqiang', 'Li Guangjie', 'Tianniu']",5.9,"Located in the natural scenic area deep in the mountains of Shangri-La, Axiu (played by Sammi Cheng), her elder sister and younger sisters run the Linhai Hotel. Her husband Xiaotian (played by Li Guangjie) strayed into the forest seven years ago, and his life and death were unknown, but Axiu never gave up hope of searching.
                                    
                                One day, an uninvited guest came to the hotel. He was Michael Liu Boqian (played by Louis Koo), the superstar who is now popular in the film and music circles. Not long ago, Liu was engaged to the female movie star Ding Yuanyuan (played by Gao Yuanyuan), but when he was about to enter the marriage hall, he was robbed by miner Zhang Xing (played by Wang Baoqiang) and successfully married him. Liu Zi gave up on himself and drank all day long. He came to Yunnan to avoid the paparazzi, but accidentally boarded Axiu's truck while drunk. Liu took this opportunity to rest in this secluded place. He accidentally learned that Axiu was actually his senior fan, and he even facilitated the marriage between Axiu and Xiaotian. During this period of time together, Liu gradually fell in love with the kind-hearted Axiu, but there was always an insurmountable gap in Axiu's heart...",love,https://www.imdb.com/title/tt1941536,Cantonese / Mandarin Chinese,112分钟,
16,Deepwater Horizon,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2396092735.jpg,"United States / Hong Kong, China",2016-11-15(中国大陆),Peter Berg,"['Mark Wahlberg', 'Dylan O'Brien', 'John Malkovich', 'Kurt Russell', 'Gina Rodriguez', 'Kate Hudson', 'J.D. Evermore', 'Joe Crist', 'John Armijo', 'Brad Leland', 'Douglas M. Griffin', 'Chris Asworth']",7.0,"This film is adapted from real events and tells the story of a team of oil workers who faced the worst man-made disaster in history and used their supreme courage and determination to fight against the disaster and save themselves. Forty miles offshore, on the vast ocean of the Gulf of Mexico stands the world's top offshore drilling platform, the ""Deepwater Horizon."" Platform deputy manager Mike Williams (played by Mark Wahlberg) is about to lead his team to complete a record-breaking depth drilling operation. Unexpectedly, the sudden instability of well pressure and pressure flushing caused the emergency safety system to malfunction, which immediately triggered a series of explosions. Deep-sea crude oil broke through the manhole cover and spewed out, forming an oil column tens of meters high, and a huge fire ensued. Millions of tons of crude oil poured out. The entire drilling platform and the nearby sea level were surrounded by thick smoke and raging fires, turning it into a hell on earth, with 126 drilling workers trapped inside. Because the fire was so intense, the marine rescue team could not get close. Mike led several brave companions to launch a self-rescue operation. They searched for and rescued the injured, arranged for evacuation, and held on until the last moment. The drilling platform is about to sink, and Mike and his companions must escape in dire straits.",Drama/Adventure/Disaster,https://www.imdb.com/title/tt1860357,English,108分钟,
17,my adolescence,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2278626199.jpg,Chinese mainland,2015-11-11(中国大陆),Hao Jie,"['Bao Beier', 'Sun Yi', 'Feng Si', 'Du Huanrong', 'Lan Jiang', 'Shi Yue', 'Hu Hechuan', 'Zhou Biao', 'Jixiang', 'Wang Peng', 'Zhong Xingxing', 'Dong Xin', 'Liu Min', 'Ge Xia', 'Yan Jin', 'Bai Budan', 'Li Ziyan', 'Zhao Jianliang', 'Chang Tao', 'Wang Fa', 'Li Bin', 'Yini', 'Hao Jie', 'Wang Xiaoyi', '二后生']",6.0,"Zhao Shanshan (played by Bao Beier) is a simple and kind-hearted young man who silently likes the beautiful girl Li Chunxia (played by Sun Yi). The two were admitted to the same high school. As time goes by, their green feelings gradually take root and the distance between them becomes closer and closer. However, the pressure from the school and parents forced Zhao Shanshan and Li Chunxia to temporarily separate. They made a promise to work together to enter the same university and renew their relationship.
                                    
                                However, Zhao Shanshan failed the exam, and he was deeply hit and fell into depression. After going through various twists and turns, Zhao Shanshan finally entered the ideal university. However, the colorful world that followed dazzled Zhao Shanshan, and Li Chunxia's beautiful figure gradually blurred in his mind. When Zhao Shanshan discovered the true feelings in his heart, it was already too late.",Drama/Romance,https://www.imdb.com/title/tt5111844,Mandarin Chinese,91分钟,
18,Taiping Wheel (Part 2)·The Other Shore,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2258079139.jpg,"Mainland China/Hong Kong, China",2015-07-30(中国大陆),John Woo,"['Zhang Ziyi', 'Jincheng Wu', 'Song Hye Kyo', 'Huang Xiaoming', 'Tong Dawei', 'Nagaze Masami', 'Qin Hailu', 'Yu Feihong', 'Yang Youning', 'Yang Guimei', 'Cong Shan', 'Wu Feixia', 'Yu Zhen', 'Wang Qianyuan', 'Lin Baoyi', 'Lin Meixiu', 'Gao Jie', 'Huang Baijun', 'Kou Jiarui', 'Xu Huanhuan', 'You Yong', 'Liu Yiwei', 'Black Wood Tong', 'Kou Shixun']",6.6,"In the 1940s, when the civil war was coming to an end, Taiwanese doctor Yan Zekun (played by Takeshi Kaneshiro) frequently traveled to and from Taiwan on the ""Taiping Ferry"" cruise ship leading to the mainland in order to purchase medicines. In order to maintain his family's livelihood, he seems to be calm on the surface, but in his heart he has never stopped missing his lover Masako (played by Nagasawa Masami) who was forced to separate due to the war. His younger brother Yan Zeming (played by Yang Youning) wants to go to the mainland to carry out revolution, and the suffering family is in turmoil. Yan Zekun encounters General Lei Yifang (played by Huang Xiaoming) and his wife (played by Song Hye Kyo), whom he has met once before. General Lei's communications soldier Tong Daqing (played by Tong Dawei) misses the lower-class woman Yu Zhen (played by Zhang Ziyi), as well as the sergeant (played by Wang Qianyuan), his wife (played by Yu Feihong) ), everyone met on the last ""Taiping Wheel"" to Taiwan, writing about the joys and sorrows of the war years. The gears of fate were turned on. Where should the little people in the great era go?",Drama/Romance/Disaster,https://www.imdb.com/title/tt4027270,Chinese Mandarin / Japanese / Hokkien / Shanghainese,131分钟,
19,Escape,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2147894527.jpg,Hong Kong / Mainland China,2013-09-30(中国大陆),Peng Fa,"['Louis Koo', 'Liu Qingyun', 'Chen Sicheng', 'Li Xinjie', 'Li Xinqiao', 'Ma Yuke', 'Jin Qiaoqiao', 'Zang Jinsheng', 'Zhang Zhaohui', 'Ma Dezhong', 'Xu Shaoxiong', 'Xiao Fei', 'Tang Shiyong', 'Xu Jiaqi', 'Tian Muchen']",6.7,"On a hot summer day in Guangzhou, in the towering skyscrapers, people from different industries were busy and managing their own lives. The fire protection system company founded by Ah Qiang (played by Louis Koo) who once served in the fire brigade opened today. In the clinic on the other floor, the wife of the fire service team captain Da Jun (played by Liu Qingyun), Sile (played by Li Xinjie), is undergoing a pre-pregnancy check-up. At the same time, there was a problem with the building's air-conditioning system, and maintenance personnel with poor awareness of precautions caused an unstoppable fire. The experienced Aqiang quickly organized the evacuation. However, the fire quickly spread to all floors, posing a great threat to the safety of the affected people. After receiving the alarm, Dajun led his comrades to the scene quickly.
                                    
                                The unprecedented disaster reunited Dajun and Aqiang, brothers who had been estranged for many years. In critical moments, human life and humanity undergo the most severe test...",Drama/Disaster,https://www.imdb.com/title/tt2957680,Chinese Mandarin / Cantonese,107分钟,
20,Taken 3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224368429.jpg,France / United States,2015-03-20(中国大陆),Olivier Megaton,"['Liam Neeson', 'Forest Whitaker', 'Famke Janssen', 'Maggie Grace', 'Dougray Scott', 'Sam Spruill', 'Don Harvey', 'Danlan Bruno', 'Leland Orser', 'David Warshofsky', 'Jon Grace', 'Jonny Weston', 'Andrew Borba', 'Judy Beecher', 'Andrew Howard']",6.5,"Former agent Brian Mills (Liam Neeson) has experienced a series of family battles, but now his seemingly peaceful life is still undercurrent: his daughter Kim (Maggie Grace) is pregnant but dare not tell him, and his ex-wife Lenore and her husband Stuart (Dougray Scott) )'s imperfect life made her reconsider Brian, and Stuart came to ask Brian to stop entangled with Lenore... Soon, Brian was surprised to find Lenore dead on his bed. Listed as the number one suspect by the police, Brian could only rely on violence to escape, and escaped under the arrangement of Police Chief Dozeller (Forest Whitaker) in order to find out the real murderer. Soon, Brian discovers that his ex-wife's death is related to Stewart's dealings with the Russian mob, and that Kim may become the next victim...",Action/Thriller/Crime,https://www.imdb.com/title/tt2446042,English / Russian,109分钟,
21,Tsukiyotou pudding ちょんまげぷりん,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p845905043.jpg,Japan,2010-07-31(日本),Nakamura Yoshihiro,"['Ryo Nishikido', 'Rie Tomosaka', 'Hiroshi Konno', 'Hitomi Sato', 'Shiori Kazuna', 'Fuku Suzuki']",7.7,"The 33-year-old Yusa Hiroko (played by Tomosaka Rie) is a working woman who is busy all day long. Because she longs for work, she divorced her husband two years ago, and she drags her 6-year-old son Tomoya alone with no leisure day and night. One day, the mother and son encountered a strange man dressed as a samurai. He called himself Nakajima Anbei (played by Ryo Kintoro). He was a minister who worked for the Tokugawa family and had traveled to modern society for some unknown reason. Because he had no one to rely on, Anbei stayed at the home of Yusa's mother and son. The ancient and modern values ​​​​collided fiercely, and many jokes were made. The chauvinist Anbei gradually put aside his noble figure as a samurai and took on the role of a housewife. His relationship with mother and son became increasingly harmonious, and he finally achieved gratifying achievements in this strange society...
                                    
                                This film is adapted from the original work of the same name by Gen Araki.",comedy,https://www.imdb.com/title/tt1595354,Japanese,108分钟,
